,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
4,32,2.01865E+12,2.01866E+12,195120,195.12,0.19512,,,,
5,32,2.01867E+12,2.01867E+12,155476,155.476,0.155476,,,,
6,32,2.01868E+12,2.01868E+12,163374,163.374,0.163374,,,,
7,32,2.01869E+12,2.01869E+12,158673,158.673,0.158673,,,,
8,32,2.0187E+12,2.0187E+12,162799,162.799,0.162799,,,,
9,32,2.01871E+12,2.01871E+12,169127,169.127,0.169127,,,,
10,32,2.01872E+12,2.01872E+12,160718,160.718,0.160718,,,,
1,33,2.01873E+12,2.01873E+12,124748,124.748,0.124748,,,,
2,33,2.01874E+12,2.01874E+12,151949,151.949,0.151949,,,,
3,33,2.01875E+12,2.01875E+12,262540,262.54,0.26254,,,,
4,33,2.01876E+12,2.01876E+12,173218,173.218,0.173218,,,,
5,33,2.01877E+12,2.01877E+12,160588,160.588,0.160588,,,,
6,33,2.01878E+12,2.01878E+12,160253,160.253,0.160253,,,,
7,33,2.01879E+12,2.01879E+12,170393,170.393,0.170393,,,,
8,33,2.0188E+12,2.0188E+12,115848,115.848,0.115848,,,,
9,33,2.01881E+12,2.01881E+12,180560,180.56,0.18056,,,,
10,33,2.01882E+12,2.01882E+12,166073,166.073,0.166073,,,,
1,34,2.01883E+12,2.01883E+12,152839,152.839,0.152839,,,,
2,34,2.01884E+12,2.01884E+12,162578,162.578,0.162578,,,,
3,34,2.01885E+12,2.01885E+12,189151,189.151,0.189151,,,,
4,34,2.01886E+12,2.01886E+12,186807,186.807,0.186807,,,,
5,34,2.01887E+12,2.01887E+12,152050,152.05,0.15205,,,,
6,34,2.01888E+12,2.01888E+12,161828,161.828,0.161828,,,,
7,34,2.0189E+12,2.0189E+12,171950,171.95,0.17195,,,,
8,34,2.01891E+12,2.01891E+12,169749,169.749,0.169749,,,,
9,34,2.01892E+12,2.01892E+12,146360,146.36,0.14636,,,,
10,34,2.01893E+12,2.01893E+12,160397,160.397,0.160397,,,,
1,35,2.01894E+12,2.01894E+12,154524,154.524,0.154524,,,,
2,35,2.01895E+12,2.01895E+12,166541,166.541,0.166541,,,,
3,35,2.01896E+12,2.01896E+12,252958,252.958,0.252958,,,,
4,35,2.01897E+12,2.01897E+12,134662,134.662,0.134662,,,,
5,35,2.01898E+12,2.01898E+12,167904,167.904,0.167904,,,,
6,35,2.01899E+12,2.01899E+12,170335,170.335,0.170335,,,,
7,35,2.019E+12,2.019E+12,168649,168.649,0.168649,,,,
8,35,2.01901E+12,2.01901E+12,148256,148.256,0.148256,,,,
9,35,2.01902E+12,2.01902E+12,168656,168.656,0.168656,,,,
10,35,2.01903E+12,2.01903E+12,157915,157.915,0.157915,,,,
1,36,2.01904E+12,2.01904E+12,169353,169.353,0.169353,,,,
2,36,2.01905E+12,2.01905E+12,149306,149.306,0.149306,,,,
3,36,2.01906E+12,2.01906E+12,168337,168.337,0.168337,,,,
4,36,2.01907E+12,2.01907E+12,152739,152.739,0.152739,,,,
5,36,2.01908E+12,2.01908E+12,175356,175.356,0.175356,,,,
6,36,2.01909E+12,2.01909E+12,148561,148.561,0.148561,,,,
7,36,2.0191E+12,2.0191E+12,186608,186.608,0.186608,,,,
8,36,2.01911E+12,2.01911E+12,149705,149.705,0.149705,,,,
9,36,2.01912E+12,2.01912E+12,199438,199.438,0.199438,,,,
10,36,2.01914E+12,2.01914E+12,133806,133.806,0.133806,,,,
1,37,2.01915E+12,2.01915E+12,155034,155.034,0.155034,,,,
2,37,2.01916E+12,2.01916E+12,187951,187.951,0.187951,,,,
3,37,2.01917E+12,2.01917E+12,161076,161.076,0.161076,,,,
4,37,2.01918E+12,2.01918E+12,158765,158.765,0.158765,,,,
5,37,2.01919E+12,2.01919E+12,156830,156.83,0.15683,,,,
6,37,2.0192E+12,2.0192E+12,161445,161.445,0.161445,,,,
7,37,2.01921E+12,2.01921E+12,181033,181.033,0.181033,,,,
